"Extension Name","Publisher","Verified","Install Count","Source Code"
"Python","Microsoft","True","69618991","https://github.com/Microsoft/vscode-python.git"
"Jupyter","Microsoft","True","50559587","https://github.com/Microsoft/vscode-jupyter.git"
"Pylance","Microsoft","True","42765483","https://github.com/microsoft/pylance-release.git"
"C/C++","Microsoft","True","38813238","https://github.com/Microsoft/vscode-cpptools.git"
"Jupyter Keymap","Microsoft","True","32890529","https://github.com/Microsoft/vscode-jupyter-keymap"
"Jupyter Notebook Renderers","Microsoft","True","31260081","https://github.com/Microsoft/vscode-notebook-renderers.git"
"Live Server","Ritwick Dey","False","27807872","https://github.com/ritwickdey/vscode-live-server.git"
"Prettier - Code formatter","Prettier","False","26314901","https://github.com/prettier/prettier-vscode.git"
"IntelliCode","Microsoft","True","23792296","https://github.com/MicrosoftDocs/intellicode.git"
"ESLint","Microsoft","True","23287348","https://github.com/Microsoft/vscode-eslint.git"
"Language Support for Java(TM) by Red Hat","Red Hat","True","19716190","https://github.com/redhat-developer/vscode-java.git"
"Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code","Microsoft","True","19593428","https://github.com/Microsoft/vscode-loc.git"
"Docker","Microsoft","True","19278058","https://github.com/microsoft/vscode-docker.git"
"C#","Microsoft","True","18597663","https://github.com/OmniSharp/omnisharp-vscode.git"
"GitLens — Git supercharged","GitKraken","True","18560818","https://github.com/gitkraken/vscode-gitlens.git"
"Debugger for Java","Microsoft","True","17717464","https://github.com/Microsoft/vscode-java-debug.git"
"Maven for Java","Microsoft","True","16951881","https://github.com/Microsoft/vscode-maven.git"
"WSL","Microsoft","True","16473089","https://github.com/Microsoft/vscode-remote-release.git"
"Test Runner for Java","Microsoft","True","16358307","https://github.com/Microsoft/vscode-java-test.git"
"Code Runner","Jun Han","False","15959173","https://github.com/formulahendry/vscode-code-runner.git"
"Extension Pack for Java","Microsoft","True","15930440","https://github.com/Microsoft/vscode-java-pack.git"
"Project Manager for Java","Microsoft","True","15842659","https://github.com/Microsoft/vscode-java-dependency.git"
"Dev Containers","Microsoft","True","15487516","https://github.com/Microsoft/vscode-remote-release.git"
"Material Icon Theme","Philipp Kief","True","14905755","https://github.com/PKief/vscode-material-icon-theme.git"
"CMake","twxs","False","13859762","https://github.com/twxs/vs.language.cmake.git"
"CMake Tools","Microsoft","True","13845536","https://github.com/microsoft/vscode-cmake-tools.git"
"Remote - SSH","Microsoft","True","13313571","https://github.com/Microsoft/vscode-remote-release.git"
"vscode-icons","VSCode Icons Team","True","12447702","https://github.com/vscode-icons/vscode-icons.git"
"HTML CSS Support","ecmel","False","12281021","https://github.com/ecmel/vscode-html-css.git"
"C/C++ Themes","Microsoft","True","12113108","https://github.com/Microsoft/vscode-cpptools.git"
"Remote - SSH: Editing Configuration Files","Microsoft","True","11879369","https://github.com/Microsoft/vscode-remote-release.git"
"Vetur","Pine Wu","False","11523000","https://github.com/vuejs/vetur.git"
"C/C++ Extension Pack","Microsoft","True","11314083","https://github.com/microsoft/vscode-cpptools.git"
"Auto Rename Tag","Jun Han","False","11219155","https://github.com/formulahendry/vscode-auto-rename-tag.git"
"Live Share","Microsoft","True","10484527","https://github.com/MicrosoftDocs/live-share"
"JavaScript (ES6) code snippets","charalampos karypidis","False","10095016","https://github.com/xabikos/vscode-javascript"
"YAML","Red Hat","True","9980230","https://github.com/redhat-developer/vscode-yaml.git"
"Better C++ Syntax","Jeff Hykin","False","9824511","https://github.com/jeff-hykin/better-cpp-syntax.git"
"[Deprecated] Debugger for Chrome","Microsoft","True","9754268","https://github.com/Microsoft/vscode-chrome-debug"
"Doxygen Documentation Generator","Christoph Schlosser","True","9663038","https://github.com/cschlosser/doxdocgen.git"
"Jupyter Cell Tags","Microsoft","True","9237802","https://github.com/Microsoft/vscode-jupyter-cell-tags.git"
"Jupyter Slide Show","Microsoft","True","9235227","https://github.com/Microsoft/vscode-jupyter-slideshow.git"
"Beautify","HookyQR","False","9147164","https://github.com/HookyQR/VSCodeBeautify"
"HTML Snippets","Mohamed Abusaid","False","8619880","N/A"
"Auto Close Tag","Jun Han","False","8496066","https://github.com/formulahendry/vscode-auto-close-tag.git"
"GitHub Pull Requests and Issues","GitHub","True","8446360","https://github.com/Microsoft/vscode-pull-request-github.git"
"Path Intellisense","Christian Kohler","True","8410236","https://github.com/ChristianKohler/PathIntellisense.git"
"Go","Go Team at Google","True","8174416","https://github.com/golang/vscode-go.git"
"PHP Debug","Xdebug","True","7945813","https://github.com/xdebug/vscode-php-debug.git"
"PHP Intelephense","Ben Mewburn","True","7294576","https://github.com/bmewburn/vscode-intelephense.git"
"Git History","Don Jayamanne","False","7134099","https://github.com/DonJayamanne/gitHistoryVSCode.git"
"PowerShell","Microsoft","True","6970483","https://github.com/PowerShell/vscode-powershell.git"
"open in browser","TechER","False","6771216","https://github.com/SudoKillMe/vscode-extensions-open-in-browser"
"ES7+ React/Redux/React-Native snippets","dsznajder","False","6637813","https://github.com/dsznajder/vscode-es7-javascript-react-snippets.git"
"One Dark Pro","binaryify","False","6398030","https://github.com/Binaryify/OneDark-Pro.git"
"EditorConfig for VS Code","EditorConfig","True","6178012","https://github.com/editorconfig/editorconfig-vscode.git"
"IntelliCode API Usage Examples","Microsoft","True","6041083","https://github.com/MicrosoftDocs/intellicode.git"
"GitHub Theme","GitHub","True","5777210","https://github.com/primer/github-vscode-theme.git"
"npm","Microsoft","True","5775152","https://github.com/Microsoft/vscode-npm-scripts.git"
"Code Spell Checker","Street Side Software","True","5611530","https://github.com/streetsidesoftware/vscode-spell-checker.git"
"Dart","Dart Code","True","5609311","https://github.com/Dart-Code/Dart-Code.git"
"IntelliSense for CSS class names in HTML","Zignd","False","5392487","https://github.com/Zignd/HTML-CSS-Class-Completion"
"[Deprecated] Bracket Pair Colorizer 2","CoenraadS","False","5338756","https://github.com/CoenraadS/Bracket-Pair-Colorizer-2.git"
"SQL Server (mssql)","Microsoft","True","5273207","https://github.com/Microsoft/vscode-mssql.git"
"isort","Microsoft","True","5264270","https://github.com/microsoft/vscode-isort.git"
"Markdown All in One","Yu Zhang","False","5239012","https://github.com/yzhang-gh/vscode-markdown.git"
"Django","Baptiste Darthenay","False","5174290","https://github.com/vscode-django/vscode-django.git"
"Flutter","Dart Code","True","5149879","https://github.com/Dart-Code/Flutter.git"
"npm Intellisense","Christian Kohler","True","5102883","https://github.com/ChristianKohler/NpmIntellisense.git"
"Azure Account","Microsoft","True","4869543","https://github.com/microsoft/vscode-azure-account.git"
"Python for VSCode","Thomas Haakon Townsend","False","4852620","https://github.com/tht13/Python-vscode.git"
"Japanese Language Pack for Visual Studio Code","Microsoft","True","4733910","https://github.com/Microsoft/vscode-loc.git"
"Jinja","wholroyd","False","4688053","https://github.com/wholroyd/vscode-jinja.git"
"Live Share Audio","Microsoft","True","4580234","https://github.com/MicrosoftDocs/live-share"
"Dracula Official","Dracula Theme","True","4535261","https://github.com/dracula/visual-studio-code.git"
"Color Highlight","Sergii N","False","4530626","https://github.com/naumovs/vscode-ext-color-highlight.git"
"Tabnine AI Autocomplete for Javascript, Python, Typescript, PHP, Go, Java, Ruby & more","TabNine","True","4483232","https://github.com/codota/tabnine-vscode"
"C++ Intellisense","austin","False","4409086","https://github.com/austin-----/code-gnu-global"
"markdownlint","David Anson","True","4305158","https://github.com/DavidAnson/vscode-markdownlint.git"
"Vim","vscodevim","False","4280027","https://github.com/VSCodeVim/Vim.git"
"Angular Language Service","Angular","True","4214849","https://github.com/angular/vscode-ng-language-service.git"
"indent-rainbow","oderwat","False","4169049","https://github.com/oderwat/vscode-indent-rainbow.git"
"XML Tools","Josh Johnson","False","4124232","https://github.com/DotJoshJohnson/vscode-xml.git"
"Python Extension Pack","Don Jayamanne","False","4034992","https://github.com/DonJayamanne/python-extension-pack.git"
"Better Comments","Aaron Bond","True","3866430","https://github.com/aaron-bond/better-comments.git"
