"Extension Name","Publisher","Verified","Install Count","Source Code"
"Python","Microsoft","True","69899890","https://github.com/Microsoft/vscode-python.git"
"Jupyter","Microsoft","True","50847661","https://github.com/Microsoft/vscode-jupyter.git"
"Pylance","Microsoft","True","43038391","https://github.com/microsoft/pylance-release.git"
"C/C++","Microsoft","True","38965838","https://github.com/Microsoft/vscode-cpptools.git"
"Jupyter Keymap","Microsoft","True","33177152","https://github.com/Microsoft/vscode-jupyter-keymap"
"Jupyter Notebook Renderers","Microsoft","True","31542766","https://github.com/Microsoft/vscode-notebook-renderers.git"
"Live Server","Ritwick Dey","False","27928185","https://github.com/ritwickdey/vscode-live-server.git"
"Prettier - Code formatter","Prettier","False","26422467","https://github.com/prettier/prettier-vscode.git"
"IntelliCode","Microsoft","True","23896338","https://github.com/MicrosoftDocs/intellicode.git"
"ESLint","Microsoft","True","23360407","https://github.com/Microsoft/vscode-eslint.git"
"Language Support for Java(TM) by Red Hat","Red Hat","True","19800853","https://github.com/redhat-developer/vscode-java.git"
"Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code","Microsoft","True","19667282","https://github.com/Microsoft/vscode-loc.git"
"Docker","Microsoft","True","19360993","https://github.com/microsoft/vscode-docker.git"
"C#","Microsoft","True","18652031","https://github.com/OmniSharp/omnisharp-vscode.git"
"GitLens — Git supercharged","GitKraken","True","18649829","https://github.com/gitkraken/vscode-gitlens.git"
"Debugger for Java","Microsoft","True","17797428","https://github.com/Microsoft/vscode-java-debug.git"
"Maven for Java","Microsoft","True","17023594","https://github.com/Microsoft/vscode-maven.git"
"WSL","Microsoft","True","16503499","https://github.com/Microsoft/vscode-remote-release.git"
"Test Runner for Java","Microsoft","True","16425327","https://github.com/Microsoft/vscode-java-test.git"
"Code Runner","Jun Han","False","16021579","https://github.com/formulahendry/vscode-code-runner.git"
"Extension Pack for Java","Microsoft","True","15995223","https://github.com/Microsoft/vscode-java-pack.git"
"Project Manager for Java","Microsoft","True","15912584","https://github.com/Microsoft/vscode-java-dependency.git"
"Dev Containers","Microsoft","True","15538811","https://github.com/Microsoft/vscode-remote-release.git"
"Material Icon Theme","Philipp Kief","True","14957099","https://github.com/PKief/vscode-material-icon-theme.git"
"CMake","twxs","False","13972626","https://github.com/twxs/vs.language.cmake.git"
"CMake Tools","Microsoft","True","13957938","https://github.com/microsoft/vscode-cmake-tools.git"
"Remote - SSH","Microsoft","True","13352406","https://github.com/Microsoft/vscode-remote-release.git"
"vscode-icons","VSCode Icons Team","True","12479431","https://github.com/vscode-icons/vscode-icons.git"
"HTML CSS Support","ecmel","False","12330407","https://github.com/ecmel/vscode-html-css.git"
"C/C++ Themes","Microsoft","True","12226334","https://github.com/Microsoft/vscode-cpptools.git"
"Remote - SSH: Editing Configuration Files","Microsoft","True","11917716","https://github.com/Microsoft/vscode-remote-release.git"
"Vetur","Pine Wu","False","11542812","https://github.com/vuejs/vetur.git"
"C/C++ Extension Pack","Microsoft","True","11417229","https://github.com/microsoft/vscode-cpptools.git"
"Auto Rename Tag","Jun Han","False","11263535","https://github.com/formulahendry/vscode-auto-rename-tag.git"
"Live Share","Microsoft","True","10525193","https://github.com/MicrosoftDocs/live-share"
"JavaScript (ES6) code snippets","charalampos karypidis","False","10132730","https://github.com/xabikos/vscode-javascript"
"YAML","Red Hat","True","10020801","https://github.com/redhat-developer/vscode-yaml.git"
"Better C++ Syntax","Jeff Hykin","False","9836721","https://github.com/jeff-hykin/better-cpp-syntax.git"
"[Deprecated] Debugger for Chrome","Microsoft","True","9758633","https://github.com/Microsoft/vscode-chrome-debug"
"Jupyter Cell Tags","Microsoft","True","9673544","https://github.com/Microsoft/vscode-jupyter-cell-tags.git"
"Doxygen Documentation Generator","Christoph Schlosser","True","9673372","https://github.com/cschlosser/doxdocgen.git"
"Jupyter Slide Show","Microsoft","True","9670581","https://github.com/Microsoft/vscode-jupyter-slideshow.git"
"Beautify","HookyQR","False","9156209","https://github.com/HookyQR/VSCodeBeautify"
"HTML Snippets","Mohamed Abusaid","False","8632429","N/A"
"GitHub Pull Requests and Issues","GitHub","True","8534807","https://github.com/Microsoft/vscode-pull-request-github.git"
"Auto Close Tag","Jun Han","False","8524295","https://github.com/formulahendry/vscode-auto-close-tag.git"
"Path Intellisense","Christian Kohler","True","8439740","https://github.com/ChristianKohler/PathIntellisense.git"
"Go","Go Team at Google","True","8199916","https://github.com/golang/vscode-go.git"
"PHP Debug","Xdebug","True","7969159","https://github.com/xdebug/vscode-php-debug.git"
"PHP Intelephense","Ben Mewburn","True","7322650","https://github.com/bmewburn/vscode-intelephense.git"
"Git History","Don Jayamanne","False","7162257","https://github.com/DonJayamanne/gitHistoryVSCode.git"
"PowerShell","Microsoft","True","6994959","https://github.com/PowerShell/vscode-powershell.git"
"open in browser","TechER","False","6793858","https://github.com/SudoKillMe/vscode-extensions-open-in-browser"
"ES7+ React/Redux/React-Native snippets","dsznajder","False","6669689","https://github.com/dsznajder/vscode-es7-javascript-react-snippets.git"
"One Dark Pro","binaryify","False","6419183","https://github.com/Binaryify/OneDark-Pro.git"
"IntelliCode API Usage Examples","Microsoft","True","6206215","https://github.com/MicrosoftDocs/intellicode.git"
"EditorConfig for VS Code","EditorConfig","True","6203010","https://github.com/editorconfig/editorconfig-vscode.git"
"isort","Microsoft","True","6015174","https://github.com/microsoft/vscode-isort.git"
"GitHub Theme","GitHub","True","5855036","https://github.com/primer/github-vscode-theme.git"
"npm","Microsoft","True","5786115","https://github.com/Microsoft/vscode-npm-scripts.git"
"Code Spell Checker","Street Side Software","True","5636822","https://github.com/streetsidesoftware/vscode-spell-checker.git"
"Dart","Dart Code","True","5628691","https://github.com/Dart-Code/Dart-Code.git"
"IntelliSense for CSS class names in HTML","Zignd","False","5407381","https://github.com/Zignd/HTML-CSS-Class-Completion"
"[Deprecated] Bracket Pair Colorizer 2","CoenraadS","False","5345793","https://github.com/CoenraadS/Bracket-Pair-Colorizer-2.git"
"SQL Server (mssql)","Microsoft","True","5282546","https://github.com/Microsoft/vscode-mssql.git"
"Markdown All in One","Yu Zhang","False","5260788","https://github.com/yzhang-gh/vscode-markdown.git"
"Django","Baptiste Darthenay","False","5201262","https://github.com/vscode-django/vscode-django.git"
"Flutter","Dart Code","True","5166817","https://github.com/Dart-Code/Flutter.git"
"npm Intellisense","Christian Kohler","True","5121910","https://github.com/ChristianKohler/NpmIntellisense.git"
"Azure Account","Microsoft","True","4892370","https://github.com/microsoft/vscode-azure-account.git"
"Python for VSCode","Thomas Haakon Townsend","False","4859826","https://github.com/tht13/Python-vscode.git"
"Japanese Language Pack for Visual Studio Code","Microsoft","True","4751536","https://github.com/Microsoft/vscode-loc.git"
"Jinja","wholroyd","False","4712840","https://github.com/wholroyd/vscode-jinja.git"
"Live Share Audio","Microsoft","True","4596918","https://github.com/MicrosoftDocs/live-share"
"Dracula Official","Dracula Theme","True","4551774","https://github.com/dracula/visual-studio-code.git"
"Color Highlight","Sergii N","False","4546488","https://github.com/naumovs/vscode-ext-color-highlight.git"
"Tabnine AI Autocomplete for Javascript, Python, Typescript, PHP, Go, Java, Ruby & more","TabNine","True","4501059","https://github.com/codota/tabnine-vscode"
"C++ Intellisense","austin","False","4411837","https://github.com/austin-----/code-gnu-global"
"markdownlint","David Anson","True","4321048","https://github.com/DavidAnson/vscode-markdownlint.git"
"Vim","vscodevim","False","4293063","https://github.com/VSCodeVim/Vim.git"
"Angular Language Service","Angular","True","4231952","https://github.com/angular/vscode-ng-language-service.git"
"indent-rainbow","oderwat","False","4187293","https://github.com/oderwat/vscode-indent-rainbow.git"
"XML Tools","Josh Johnson","False","4136324","https://github.com/DotJoshJohnson/vscode-xml.git"
"Python Extension Pack","Don Jayamanne","False","4056197","https://github.com/DonJayamanne/python-extension-pack.git"
"Better Comments","Aaron Bond","True","3884601","https://github.com/aaron-bond/better-comments.git"
"Atom One Dark Theme","Mahmoud Ali","False","3744645","https://github.com/akamud/vscode-theme-onedark.git"
"Git Graph","mhutchie","False","3743533","https://github.com/mhutchie/vscode-git-graph.git"
"TSLint","Microsoft","True","3622689","https://github.com/Microsoft/vscode-typescript-tslint-plugin.git"
"CSS Peek","Pranay Prakash","True","3620604","https://github.com/pranaygp/vscode-css-peek"
"PHP Extension Pack","Xdebug","True","3545275","https://github.com/zobo/vscode-php-pack.git"
"Markdown Preview Enhanced","Yiyi Wang","False","3545125","https://github.com/shd101wyy/vscode-markdown-preview-enhanced.git"
"Settings Sync","Shan Khan","False","3521632","https://github.com/shanalikhan/code-settings-sync.git"
