"Display Name","Publisher","crypto","dns","fs","http","os","path","tls","dgram","zlib","cluster","process"
"Python","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Jupyter","Microsoft","True","True","True","True","True","True","False","False","True","True","True"
"Pylance","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"C/C++","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Jupyter Keymap","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Jupyter Notebook Renderers","Microsoft","False","False","False","True","True","True","False","False","False","False","False"
"Live Server","Ritwick Dey","False","False","True","True","True","True","False","False","False","False","True"
"Prettier - Code formatter","Prettier","False","False","True","True","True","True","False","False","False","False","True"
"IntelliCode","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"ESLint","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Language Support for Java(TM) by Red Hat","Red Hat","False","False","True","True","True","True","True","False","False","False","True"
"Chinese (Simplified) (简体中文) Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Docker","Microsoft","True","False","True","True","True","True","True","False","False","False","True"
"C#","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"GitLens — Git supercharged","GitKraken","True","False","True","True","True","True","False","False","False","False","True"
"Debugger for Java","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Maven for Java","Microsoft","False","False","True","True","True","True","True","False","False","False","True"
"WSL","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Test Runner for Java","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Code Runner","Jun Han","False","False","True","True","True","True","False","False","False","False","True"
"Extension Pack for Java","Microsoft","True","False","True","True","True","True","True","False","False","False","True"
"Project Manager for Java","Microsoft","False","False","True","True","True","True","True","False","False","False","True"
"Dev Containers","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Material Icon Theme","Philipp Kief","False","False","True","True","True","True","False","False","False","True","True"
"CMake","twxs","False","False","False","True","True","False","False","False","False","False","True"
"CMake Tools","Microsoft","True","False","True","True","True","True","False","False","True","False","True"
"Remote - SSH","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"vscode-icons","VSCode Icons Team","False","False","True","True","True","True","False","False","False","False","True"
"HTML CSS Support","ecmel","False","False","True","True","True","True","False","False","False","False","False"
"C/C++ Themes","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Remote - SSH: Editing Configuration Files","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Vetur","Pine Wu","False","False","True","True","True","True","False","False","False","False","True"
"C/C++ Extension Pack","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Auto Rename Tag","Jun Han","False","False","True","False","True","True","False","False","False","False","True"
"Live Share","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"JavaScript (ES6) code snippets","charalampos karypidis","False","False","False","False","False","False","False","False","False","False","False"
"YAML","Red Hat","True","False","True","True","True","True","False","False","False","False","True"
"Better C++ Syntax","Jeff Hykin","True","False","True","False","True","True","False","False","False","False","True"
"[Deprecated] Debugger for Chrome","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Jupyter Cell Tags","Microsoft","False","False","True","True","True","True","False","False","False","False","False"
"Doxygen Documentation Generator","Christoph Schlosser","False","False","True","True","True","True","False","False","False","False","False"
"Jupyter Slide Show","Microsoft","False","False","True","True","True","True","False","False","False","False","False"
"Beautify","HookyQR","False","False","True","False","True","True","False","False","False","False","False"
"HTML Snippets","Mohamed Abusaid","False","False","False","False","False","False","False","False","False","False","False"
"GitHub Pull Requests and Issues","GitHub","True","False","True","True","True","True","False","False","False","False","True"
"Auto Close Tag","Jun Han","False","False","False","False","True","False","False","False","False","False","False"
